model_name	data	preprocessing	F1	MCC	Acc	Precision	Recall	AUC	filename
logistic_regression	integer_encoded		0.6475644699140402	-0.004317580656552359	0.4896265560165975	0.9576271186440678	0.48917748917748916	0.4945887445887446	../../data/evaluations/2021-12-03/models/logistic_regression_integer_encoded.pkl
random_forest	integer_encoded		0.688888888888889	0.014713265412707127	0.5352697095435685	0.9612403100775194	0.5367965367965368	0.5183982683982684	../../data/evaluations/2021-12-03/models/random_forest_integer_encoded.pkl
gradient_boosting	integer_encoded		0.23574144486692017	0.020098931457006794	0.16597510373443983	0.96875	0.1341991341991342	0.5170995670995671	../../data/evaluations/2021-12-03/models/gradient_boosting_integer_encoded.pkl
SVM	integer_encoded		0.6759776536312849	-0.030433534373645713	0.5186721991701245	0.952755905511811	0.5238095238095238	0.46190476190476193	../../data/evaluations/2021-12-03/models/SVM_integer_encoded.pkl
multilayer_perceptron	integer_encoded		0.44666666666666666	0.039725427196898686	0.3112033195020747	0.9710144927536232	0.29004329004329005	0.5450216450216451	../../data/evaluations/2021-12-03/models/multilayer_perceptron_integer_encoded.pkl
logistic_regression	pybiomed		0.592814371257485	0.011518072027724256	0.43568464730290457	0.9611650485436893	0.42857142857142855	0.5142857142857142	../../data/evaluations/2021-12-03/models/logistic_regression_pybiomed.pkl
random_forest	pybiomed		0.5609756097560975	-0.04137088002601629	0.4024896265560166	0.9484536082474226	0.39826839826839827	0.44913419913419916	../../data/evaluations/2021-12-03/models/random_forest_pybiomed.pkl
gradient_boosting	pybiomed		0.28044280442804426	-0.019027417082950884	0.1908713692946058	0.95	0.1645021645021645	0.48225108225108226	../../data/evaluations/2021-12-03/models/gradient_boosting_pybiomed.pkl
SVM	pybiomed		0.5714285714285714	0.002812114088107879	0.4149377593360996	0.9591836734693877	0.4069264069264069	0.5034632034632034	../../data/evaluations/2021-12-03/models/SVM_pybiomed.pkl
multilayer_perceptron	pybiomed		0.0	0.0	0.04149377593360996	0.0	0.0	0.5	../../data/evaluations/2021-12-03/models/multilayer_perceptron_pybiomed.pkl
logistic_regression	pybiomed	_StandardScaler	0.5510835913312694	0.03500847462996916	0.3983402489626556	0.967391304347826	0.3852813852813853	0.5426406926406926	../../data/evaluations/2021-12-03/models/logistic_regression_pybiomed_StandardScaler.pkl
random_forest	pybiomed	_StandardScaler	0.6741573033707865	0.007775396105325801	0.5186721991701245	0.96	0.5194805194805194	0.5097402597402597	../../data/evaluations/2021-12-03/models/random_forest_pybiomed_StandardScaler.pkl
gradient_boosting	pybiomed	_StandardScaler	0.3508771929824561	-0.08778942074669041	0.23236514522821577	0.9259259259259259	0.21645021645021645	0.40822510822510827	../../data/evaluations/2021-12-03/models/gradient_boosting_pybiomed_StandardScaler.pkl
SVM	pybiomed	_StandardScaler	0.5945945945945946	0.05189708603421656	0.43983402489626555	0.9705882352941176	0.42857142857142855	0.5642857142857143	../../data/evaluations/2021-12-03/models/SVM_pybiomed_StandardScaler.pkl
multilayer_perceptron	pybiomed	_StandardScaler	0.4774193548387097	-0.07632574531606351	0.3278008298755187	0.9367088607594937	0.3203463203463203	0.4101731601731602	../../data/evaluations/2021-12-03/models/multilayer_perceptron_pybiomed_StandardScaler.pkl
logistic_regression	protparam		0.7119565217391305	-0.013247399976997013	0.5601659751037344	0.9562043795620438	0.5670995670995671	0.48354978354978356	../../data/evaluations/2021-12-03/models/logistic_regression_protparam.pkl
random_forest	protparam		0.6130952380952381	0.09889588973909767	0.4605809128630705	0.9809523809523809	0.4458874458874459	0.622943722943723	../../data/evaluations/2021-12-03/models/random_forest_protparam.pkl
gradient_boosting	protparam		0.3297491039426523	-0.00043233931739188514	0.22406639004149378	0.9583333333333334	0.19913419913419914	0.4995670995670996	../../data/evaluations/2021-12-03/models/gradient_boosting_protparam.pkl
SVM	protparam		0.8226600985221675	-0.03446061471817858	0.7012448132780082	0.9542857142857143	0.7229437229437229	0.46147186147186137	../../data/evaluations/2021-12-03/models/SVM_protparam.pkl
multilayer_perceptron	protparam		0.27941176470588236	-0.07191697661686051	0.18672199170124482	0.926829268292683	0.1645021645021645	0.4322510822510822	../../data/evaluations/2021-12-03/models/multilayer_perceptron_protparam.pkl
logistic_regression	protparam	_StandardScaler	0.6011904761904762	0.014973673446412676	0.44398340248962653	0.9619047619047619	0.43722943722943725	0.5186147186147186	../../data/evaluations/2021-12-03/models/logistic_regression_protparam_StandardScaler.pkl
random_forest	protparam	_StandardScaler	0.5945945945945946	0.05189708603421656	0.43983402489626555	0.9705882352941176	0.42857142857142855	0.5642857142857143	../../data/evaluations/2021-12-03/models/random_forest_protparam_StandardScaler.pkl
gradient_boosting	protparam	_StandardScaler	0.3661971830985916	0.06023861712558845	0.25311203319502074	0.9811320754716981	0.22510822510822512	0.5625541125541126	../../data/evaluations/2021-12-03/models/gradient_boosting_protparam_StandardScaler.pkl
SVM	protparam	_StandardScaler	0.6135693215339233	0.02013790561672128	0.45643153526970953	0.9629629629629629	0.45021645021645024	0.5251082251082252	../../data/evaluations/2021-12-03/models/SVM_protparam_StandardScaler.pkl
multilayer_perceptron	protparam	_StandardScaler	0.487012987012987	0.05332356921153049	0.34439834024896265	0.974025974025974	0.3246753246753247	0.5623376623376624	../../data/evaluations/2021-12-03/models/multilayer_perceptron_protparam_StandardScaler.pkl
logistic_regression	bert		0.6778711484593838	0.009506540589341554	0.5228215767634855	0.9603174603174603	0.5238095238095238	0.5119047619047619	../../data/evaluations/2021-12-03/models/logistic_regression_bert.pkl
random_forest	bert		0.6628895184135977	0.002590191495342695	0.5062240663900415	0.9590163934426229	0.5064935064935064	0.5032467532467533	../../data/evaluations/2021-12-03/models/random_forest_bert.pkl
gradient_boosting	bert		0.28044280442804426	-0.019027417082950884	0.1908713692946058	0.95	0.1645021645021645	0.48225108225108226	../../data/evaluations/2021-12-03/models/gradient_boosting_bert.pkl
SVM	bert		0.6455331412103746	0.03386616970319682	0.4896265560165975	0.9655172413793104	0.48484848484848486	0.5424242424242425	../../data/evaluations/2021-12-03/models/SVM_bert.pkl
multilayer_perceptron	bert		0.393103448275862	0.021684832192791485	0.2697095435684647	0.9661016949152542	0.24675324675324675	0.5233766233766234	../../data/evaluations/2021-12-03/models/multilayer_perceptron_bert.pkl
logistic_regression	seqvec		0.0	0.0	0.04149377593360996	0.0	0.0	0.5	../../data/evaluations/2021-12-03/models/logistic_regression_seqvec.pkl
random_forest	seqvec		0.0	0.0	0.04149377593360996	0.0	0.0	0.5	../../data/evaluations/2021-12-03/models/random_forest_seqvec.pkl
gradient_boosting	seqvec		0.5952380952380952	-0.026987434699929824	0.43568464730290457	0.9523809523809523	0.4329004329004329	0.46645021645021645	../../data/evaluations/2021-12-03/models/gradient_boosting_seqvec.pkl
SVM	seqvec		0.0	0.0	0.04149377593360996	0.0	0.0	0.5	../../data/evaluations/2021-12-03/models/SVM_seqvec.pkl
multilayer_perceptron	seqvec		0.0	0.0	0.04149377593360996	0.0	0.0	0.5	../../data/evaluations/2021-12-03/models/multilayer_perceptron_seqvec.pkl
logistic_regression	bert	_StandardScaler	0.6797752808988765	0.04941696191384842	0.5269709543568465	0.968	0.5238095238095238	0.5619047619047619	../../data/evaluations/2021-12-03/models/logistic_regression_bert_StandardScaler.pkl
random_forest	bert	_StandardScaler	0.4903225806451613	0.012322469725725914	0.34439834024896265	0.9620253164556962	0.329004329004329	0.5145021645021645	../../data/evaluations/2021-12-03/models/random_forest_bert_StandardScaler.pkl
gradient_boosting	bert	_StandardScaler	0.274074074074074	-0.021566210960677935	0.18672199170124482	0.9487179487179487	0.16017316017316016	0.4800865800865801	../../data/evaluations/2021-12-03/models/gradient_boosting_bert_StandardScaler.pkl
